2022-04-16,15:58:47,0,FCDS OPE,1650139127831,Hi! We will start soon.,GREET_AND_WAIT
2022-04-16,15:59:08,0,FCDS OPE,1650139149916,Welcome! I'm FCDS.,INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,20:34:16,0,FCDS OPE,1650155657672,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes",PROMPT_LO1_INTRODUCTION
2022-04-16,20:34:16,0,FCDS OPE,1650155662698,"sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:20:21,0,FCDS OPE,1650158422548,"Before starting please make sure you have attempted the pre-quiz. \nYou'll get credit just for submitting it. 
        Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes \\",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:24:24,0,FCDS OPE,1650158666388,"The new roles are -
carbon dioxide - S002",PROMPT_STEP_MATCH
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:27:42,0,FCDS OPE,1650158863855,"The new roles are -
fossil fuels - S002",PROMPT_STEP_MATCH
2022-04-16,21:28:14,0,FCDS OPE,1650158895938,"First, click on the words ""Temperature Change Data"" at the upper left. Examine the graph and take about 5 minutes to discuss as a team.",PROMPT_STEP_TEMPERATURE_CHANGE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:34:06,0,FCDS OPE,1650159247051,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. 
Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes \\sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:36:10,0,FCDS OPE,1650159371508,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. 
Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes \| sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:43:21,0,FCDS OPE,1650159802483,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. 
Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes | sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,22:01:51,0,FCDS OPE,1650160912657,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh | and| and yes | sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,22:04:19,0,FCDS OPE,1650161059775,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,23:26:00,0,FCDS OPE,1650165961553,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:26:00,0,FCDS OPE,1650165966577,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:26:00,0,FCDS OPE,1650165971582,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:26:00,0,FCDS OPE,1650165976584,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:26:28,0,FCDS OPE,1650165989600,PROMPT_STEP_MATCH,PROMPT_STEP_MATCH
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,23:34:09,0,FCDS OPE,1650166450293,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:34:09,0,FCDS OPE,1650166455315,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:34:09,0,FCDS OPE,1650166460318,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:34:09,0,FCDS OPE,1650166465322,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:34:37,0,FCDS OPE,1650166478340,"The new roles are -
Program - S002",PROMPT_STEP_MATCH
2022-04-16,23:35:39,0,FCDS OPE,1650166540464,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
2022-04-16,23:35:57,0,FCDS OPE,1650166558489,Let's take some time to discuss this solution. Take turns to discuss the question posed by the bot. We will move on in a few minutes.,PROMPT_STEP_LO1_DISCUSSION_1
2022-04-16,23:35:57,0,FCDS OPE,1650166563493,"Project Manager, please lead the discussion - You already know why it's extremely bad practice to use part of the train set as test set. Now, discuss why usage of preprocessor should follow same logic.",PROMPT_STEP_LO1_DISCUSSION_1
2022-04-16,23:36:16,0,FCDS OPE,1650166576509,"As a follow-up, discuss why you should not fit StandardScaler on test data.",PROMPT_STEP_LO1_DISCUSSION_2
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,23:40:07,0,FCDS OPE,1650166807946,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:40:07,0,FCDS OPE,1650166812970,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:40:07,0,FCDS OPE,1650166817972,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:40:07,0,FCDS OPE,1650166822974,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-16,23:40:35,0,FCDS OPE,1650166835997,"The new roles are -
Researcher - S001
Program - S002",PROMPT_STEP_MATCH
2022-04-16,23:41:38,0,FCDS OPE,1650166900105,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
2022-04-16,23:41:55,0,FCDS OPE,1650166916133,Let's take some time to discuss this solution. Take turns to discuss the question posed by the bot. We will move on in a few minutes.,PROMPT_STEP_LO1_DISCUSSION_1
2022-04-16,23:41:55,0,FCDS OPE,1650166921138,"Project Manager, please lead the discussion - You already know why it's extremely bad practice to use part of the train set as test set. Now, discuss why usage of preprocessor should follow same logic.",PROMPT_STEP_LO1_DISCUSSION_1
2022-04-16,23:42:14,0,FCDS OPE,1650166936162,"As a follow-up, discuss why you should not fit StandardScaler on test data.",PROMPT_STEP_LO1_DISCUSSION_2
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,00:10:13,0,FCDS OPE,1650168614561,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:10:13,0,FCDS OPE,1650168619586,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:10:13,0,FCDS OPE,1650168624588,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:10:13,0,FCDS OPE,1650168629589,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:10:41,0,FCDS OPE,1650168642613,"The new roles are -
Program Manager - S001
Driver - S002",PROMPT_STEP_MATCH
2022-04-17,00:12:44,0,FCDS OPE,1650168766852,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
2022-04-17,00:13:02,0,FCDS OPE,1650168782889,Let's take some time to discuss this solution. Take turns to discuss the question posed by the bot. We will move on in a few minutes.,PROMPT_STEP_LO1_DISCUSSION_1
2022-04-17,00:13:02,0,FCDS OPE,1650168787891,"Project Manager, please lead the discussion - You already know why it's extremely bad practice to use part of the train set as test set. Now, discuss why usage of preprocessor should follow same logic.",PROMPT_STEP_LO1_DISCUSSION_1
2022-04-17,00:15:21,0,FCDS OPE,1650168923154,"As a follow-up, discuss why you should not fit StandardScaler on test data.",PROMPT_STEP_LO1_DISCUSSION_2
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,00:37:40,0,FCDS OPE,1650170261299,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:37:40,0,FCDS OPE,1650170266322,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:37:40,0,FCDS OPE,1650170271325,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:37:40,0,FCDS OPE,1650170276327,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:38:08,0,FCDS OPE,1650170289345,"The new roles are -
Researcher - S001
Program Manager - S002",PROMPT_STEP_MATCH
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,00:48:56,0,FCDS OPE,1650170937808,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:48:56,0,FCDS OPE,1650170942832,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:48:56,0,FCDS OPE,1650170947834,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:48:56,0,FCDS OPE,1650170954153,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:49:24,0,FCDS OPE,1650170965173,"The new roles are -
Program Manager - S001
Navigator - S002",PROMPT_STEP_MATCH
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,00:59:25,0,FCDS OPE,1650171566942,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:59:25,0,FCDS OPE,1650171571984,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:59:25,0,FCDS OPE,1650171576988,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:59:25,0,FCDS OPE,1650171581991,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,00:59:53,0,FCDS OPE,1650171595009,"The new roles are -
Program Manager - S001
Navigator - S002",PROMPT_STEP_MATCH
2022-04-17,01:01:27,0,FCDS OPE,1650171687208,"Okay, let's get ready to move on. Remember to type ""ready"" if you're done with this step.",TIMEOUT_WARNING
2022-04-17,01:01:57,0,FCDS OPE,1650171717273,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
2022-04-17,01:02:14,0,FCDS OPE,1650171735295,Let's take some time to discuss this solution. Take turns to discuss the question posed by the bot. We will move on in a few minutes.,PROMPT_STEP_LO1_DISCUSSION_1
2022-04-17,01:02:14,0,FCDS OPE,1650171740301,"Project Manager, please lead the discussion - You already know why it's extremely bad practice to use part of the train set as test set. Now, discuss why usage of preprocessor should follow same logic.",PROMPT_STEP_LO1_DISCUSSION_1
2022-04-17,01:04:03,0,FCDS OPE,1650171845510,"We need to start wrapping up. Remember to type ""ready"" when you're ready to move on.",TIMEOUT_WARNING
2022-04-17,01:04:33,0,FCDS OPE,1650171875571,"As a follow-up, discuss why you should not fit StandardScaler on test data.",PROMPT_STEP_LO1_DISCUSSION_2
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,01:05:38,0,FCDS OPE,1650171939081,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,01:05:38,0,FCDS OPE,1650171944108,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,01:05:38,0,FCDS OPE,1650171949110,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,01:05:38,0,FCDS OPE,1650171954113,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,01:06:05,0,FCDS OPE,1650171967135,"The new roles are -
Driver - S001
Navigator - S002",PROMPT_STEP_MATCH
2022-04-17,01:07:38,0,FCDS OPE,1650172059323,"Okay, let's get ready to move on. Remember to type ""ready"" if you're done with this step.",TIMEOUT_WARNING
2022-04-17,01:08:08,0,FCDS OPE,1650172089388,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
2022-04-17,01:08:26,0,FCDS OPE,1650172107428,Let's take some time to discuss this solution. Take turns to discuss the question posed by the bot. We will move on in a few minutes.,PROMPT_STEP_LO1_DISCUSSION_1
2022-04-17,01:08:26,0,FCDS OPE,1650172112430,"Project Manager, please lead the discussion - You already know why it's extremely bad practice to use part of the train set as test set. Now, discuss why usage of preprocessor should follow same logic.",PROMPT_STEP_LO1_DISCUSSION_1
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,14:53:31,0,FCDS OPE,1650221612449,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,14:53:31,0,FCDS OPE,1650221617476,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,14:53:31,0,FCDS OPE,1650221622481,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,14:53:31,0,FCDS OPE,1650221627489,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,14:53:58,0,FCDS OPE,1650221640547,"The new roles are -
Driver - S002",PROMPT_STEP_MATCH
2022-04-17,14:54:28,0,S002,1650221668801,the atmosphere build carbon is cheaper,EXPLAIN_CANDIDATE+AGREE_CANDIDATE
2022-04-17,14:55:00,0,FCDS OPE,1650221702876,"Thanks, S002. Do the rest of you buy that?",S002+AT_MOVE+AGREE_DISAGREE
2022-04-17,14:55:31,0,FCDS OPE,1650221733021,"Okay, let's get ready to move on. Remember to type ""ready"" if you're done with this step.",TIMEOUT_WARNING
2022-04-17,14:55:47,0,S002,1650221747712,ready,AFFIRMATIVE
2022-04-17,14:55:47,0,FCDS OPE,1650221749117,"""A concise way to solve this problem - 

    preprocessor = StandardScaler()
    train_X, test_X, train_y, test_y = train_test_split(X, y, random_state = seed)
    model = LogisticRegression(random_state = seed)
    train_X = preprocessor.fit_transform(train_X)
    test_X = preprocessor.transform(test_X)
    model.fit(train_X, train_y)
    return model.score(test_X, test_y)""",PROMPT_STEP_LO1_SOLUTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-17,15:08:49,0,FCDS OPE,1650222530784,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh && yes | sh env_setup_oneshot.sh""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,15:08:49,0,FCDS OPE,1650222535806,"Once that's done, EVERYONE should run ""source ~/.bashrc""",PROMPT_INITIAL_INTRODUCTION
2022-04-17,15:08:49,0,FCDS OPE,1650222540815,"At the end of the session, execute the submitter script ONE PERSON AT A TIME using './submitter'. Even if the submission fails, you will get the post-quiz token for accessing the post-quiz.",PROMPT_INITIAL_INTRODUCTION
2022-04-17,15:08:49,0,FCDS OPE,1650222545822,We will rotate roles every time a new test case passes.,PROMPT_INITIAL_INTRODUCTION
2022-04-17,15:09:17,0,FCDS OPE,1650222558854,"The new roles are -
Driver - S002",PROMPT_STEP_MATCH
2022-04-17,15:09:34,0,S002,1650222574730,the atmosphere build carbon is cheaper,EXPLAIN_CANDIDATE+AGREE_CANDIDATE
