DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,NUDGEABLE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,MOLECULE_SIZE,FEEDBACKABLE_EXPLANATION,NUDGEABLE_MOLECULE_SIZE
01.01.1970,08.08.42,431CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.08.46,412CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.19,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.32,(meme),joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.38,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.14,(meme),leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.23,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.31,412CS1,hii jacklyn :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.39,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.52,411CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.58,431CS1,"hi 412CS1, and ok",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.10.58,411CS1,lawl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.05,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.18,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.25,411CS1,ur my partners eww,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.40,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.17,411CS1,i dont like my partners d:,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.12.21,TUTOR,:-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.25,411CS1,hi partners,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.30,411CS1,KARLY AND JACKLYN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.41,412CS1,because the dialysis tube collected the water and it expanded,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
01.01.1970,08.12.42,431CS1,because the iodine water changed the start water to show it has starch in it,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.12.47,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.26,411CS1,and the color that absorbed into the tube thing made it gain a little extra weight,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.13.48,411CS1,JACKLYN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.55,412CS1,its indicaticating that there is starch in the water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,Would another way to say that be ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.14.06,431CS1,but after 24 hours the tube weighs less than it did in the beggining jeremy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.14.36,412CS1,yeah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.14.51,411CS1,thats true so the iodine thats in the tube would be less dense and the starch takes away some weight and water,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
01.01.1970,08.14.55,TUTOR,So how is this about how we use indicators?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.02,411CS1,so hows everyones morning going,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.13,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.20,412CS1,okayy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.15.29,411CS1,okie dokie artechokie XD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.15.37,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.50,431CS1,okk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.15.53,411CS1,O K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.07,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.11,411CS1,jacklyn reft your so BORING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.18,411CS1,talk have a conversation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.36,412CS1,the starch is more complex than the glucose,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,19.34.32,TUTOR,Would that be the same as saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.49,412CS1,yeah it would,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.16.59,411CS1,starch molecules are like potatoes like lots of salt as glucose is lots of sugar like in your blood,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.17.00,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.04,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.18,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.36,411CS1,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.37,411CS1,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.42,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.19,412CS1,it weighs more because there is more in it,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.18.23,411CS1,starch is tested with a tube as the glucose is tested with a piece of paper like material,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.18.23,TUTOR,"Thanks for offering an explanation, 412CS1 :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.24,431CS1,the longer you leave the test strip in the water the darker green the strip gets and the more weight the glucose solution collects,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.00,412CS1,jackie wouldnt it just show that there was more in it,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,Would another way to say that be ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.09,411CS1,wat jacklyn said and starch cant get any darker when purple and the water would be clear so no more,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
01.01.1970,08.19.14,TUTOR,Talk a little more about the size of the molecules...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.37,TUTOR,I wonder what 431CS1 has to say.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.19.58,412CS1,if the molecule is bigger wouldnt it weigh more?,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
01.01.1970,08.20.02,411CS1,im invisible in this group T^T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.20.40,431CS1,the strip gets darker because its showing there is more in the glucose 412CS1 hmmm i agree with what 412CS1 said,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
01.01.1970,08.20.43,411CS1,the tube filled with iodine weighs more because it has alot of liquid and the paper has little weight,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
01.01.1970,08.20.44,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,Maybe you could state that as ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.19,412CS1,but how would it keep it from changing?,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.21.19,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.34,412CS1,okayy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.21.41,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.41,411CS1,kkkkkkk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.42,431CS1,it wouldsstop changing due to the amount of glucose,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.49,411CS1,probably,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.04,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.33,411CS1,the glucose will slowly change over time into light green,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.51,412CS1,i think that there will not have as much glucose in it,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
01.01.1970,08.22.54,TUTOR,"Thanks for starting a prediction, 412CS1.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.05,412CS1,your welcome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.17,411CS1,i dont like this chat im being cheated,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.23.19,431CS1,but if the test strip is testing for glucose wouldnt the test strip stay dark green because there is more glucose than distilled water jeremy,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
01.01.1970,19.34.32,TUTOR,So is 431CS1 saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.33,411CS1,hey SAGE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.47,411CS1,yes i guess jacklyn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.24.05,431CS1,there is more glucose so the test strip would stay dark green not ghange to light green,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
01.01.1970,08.24.37,412CS1,"i agree jackie, is the distilled water in the dialysis tubing",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.24.41,411CS1,true but the tube is filled with water which doesnt do much but glucose does change the strip,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,19.34.32,TUTOR,"412CS1, is this similar to ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.04,431CS1,yes the distilled water is in the dialysis tube,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,08.25.07,412CS1,i think so,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,So is 431CS1 saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.13,TUTOR,Ok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.20,411CS1,so it seems we have an agreement lets put our ideas together,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.43,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.25.53,412CS1,so the strip would get darker over time because its showing that there is a large amount of glucose in it,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
01.01.1970,08.26.04,431CS1,i agree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.07,411CS1,agreed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.15,431CS1,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.23,411CS1,so we write wat karl said,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.26,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.35,431CS1,Welcome :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.26.35,412CS1,no problem,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.26.40,412CS1,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.27.23,411CS1,sage you so mean i dont like this i started things and u say it was others,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.28.01,411CS1,KARL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.28.15,431CS1,what would you guess the weight would be after 24 hours?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.28.26,411CS1,like 0.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.28.29,411CS1,g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.28.36,431CS1,alrighty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,08.29.07,411CS1,wats strip color inside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.29.52,431CS1,yellow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.30.16,411CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.40.05,412CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.41.37,431CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.50.02,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.20.33,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.20.34,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
