DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,FEEDBACKABLE_REQUEST,REVOICE_REQUEST,GIVING_OPINION,SCIENCE,REVOICE_CONTRIBUTION,EXPLANATION_CONTRIBUTION,FEEDBACKABLE_EXPLANATION_REQUEST,EXPLANATION_REQUEST,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,CHALLENGE_REQUEST,FEEDBACKABLE_REVOICE_REQUEST,FEEDBACKABLE_EXPLANATION
01.01.1970,09.41.14,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.42.41,517CN3,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.42.58,515CN3,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.43.32,515CN3,hey tanner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.43.44,517CN3,hey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.43.59,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.44.02,515CN3,what you doing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.44.41,515CN3,my name is dominmique and im in mr TEACHERs biology i love working what about you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
01.01.1970,09.44.44,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.45.00,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.45.27,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.45.38,515CN3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,09.45.40,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.46.02,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.46.38,TUTOR,I'd love to hear more from 517CN3...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.46.45,532CN3,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.47.27,515CN3,help us please,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,09.47.31,TUTOR,"Thanks for keeping the discussion going, 515CN3. :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.47.43,517CN3,so over time the weight changed?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.47.44,515CN3,help us please,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,09.47.48,TUTOR,"Thanks for that, 515CN3. Can anyone respond?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.48.19,515CN3,can you repeat that,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,09.48.20,532CN3,IODINE CAME OUT THE BAG,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.48.23,TUTOR,"Thanks for keeping the discussion going, 515CN3. :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.48.47,517CN3,i think starch came out of the bag,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.48.51,TUTOR,"Thanks for starting a prediction, 517CN3.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.49.21,515CN3,the iodine came out the starch,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.49.34,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.49.58,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.50.01,515CN3,the iodine came out the bag,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.50.28,517CN3,but the iodine was outside of the bag,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.50.29,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.51.00,532CN3,IDK what glucose is,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.51.21,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.51.25,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.51.39,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.51.44,515CN3,the glucose that we juss seen made a stick change colors one was yellow and one was green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.52.03,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.52.13,515CN3,the bag went changing weight it increases,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.53.32,532CN3,the weight changed over time,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.53.40,517CN3,the glucose came out of the bag and the water whent into the bag,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.54.03,532CN3,how do u know,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.54.03,515CN3,and the glucose changed colors and the iodine left went into the bag,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.54.25,532CN3,how do you know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.54.26,517CN3,because the test strips changed,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
01.01.1970,09.54.27,515CN3,how do u know what ?????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.54.30,TUTOR,"Thanks for offering an explanation, 517CN3 :-)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.54.41,532CN3,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,09.55.21,515CN3,tanner how do you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
01.01.1970,09.55.24,TUTOR,Great! Can someone respond to 515CN3?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.55.34,532CN3,montana said hi dominqueb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.55.38,TUTOR,"Okay, we've kind of stalled. Can someone summarize the discussion so far?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.55.43,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.55.56,515CN3,hello,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.56.02,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.56.06,532CN3,the glucose came out of the bag each time,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.56.09,517CN3,because the test strip taht was in the water changed from yellow to green,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
01.01.1970,09.56.26,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.56.43,515CN3,exactly but before what you said about the starch how did you know,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,09.57.35,517CN3,what do you mean,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
01.01.1970,09.57.39,TUTOR,"Perfect time for a re-voicing, 517CN3.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.58.48,515CN3,an observation would be that glucose changed colors as it sat in the water and the water didnt go in side the starch but the iodine did go inside the starch,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.59.34,(money talks),joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,09.59.39,(money talks),leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.00.04,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.00.47,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.01.23,515CN3,what do youll think its going to change too,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,10.01.29,515CN3,and the weight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.01.39,532CN3,whats our prediction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
01.01.1970,10.01.49,517CN3,ok so the tube is stilled filled with water instead of glucose,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,10.02.09,532CN3,that's the prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,10.02.17,515CN3,BACKSLASHwhats the color inside the tube,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,10.02.38,517CN3,yellow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.02.48,515CN3,outside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.03.39,532CN3,what's the predictiobn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,10.03.44,517CN3,for outside after 24 hours it should be green,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
01.01.1970,10.03.56,517CN3,i mean outside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.04.07,515CN3,whats the weight youll think,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
01.01.1970,10.04.23,517CN3,0.59g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.04.49,515CN3,why do u say 0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,10.05.22,517CN3,its just a gess,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.05.56,532CN3,whats the outside color,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
01.01.1970,10.35.16,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.36.04,517CN3,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.36.45,515CN3,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,10.40.53,532CN3,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
