class,text
fish,a koi in the pool has golden scales
fish,eel is less eatable
fish,pike swim out to sea
fish,the fish swim upstream
fish,sea creatures are slimy water animals
fish,swordfish is delicious
fish,pike swim out to sea
fish,the salmon swim upstream
bird,this is a duck in the air
bird,chicken is delicious
bird,peacocks are beautiful
bird,birds have feathers
bird,our nests have eggs in them
bird,chicken is delicious
bird,peacocks are beautiful
bird,birds have feathers
bird,our nests have eggs in them
mammal,shaggy dog
mammal,dog with brown fur
mammal,deer with hooves
mammal,buffalo stampede
mammal,furry creature
mammal,mammals feed their young with milk
mammal,bear in the forest
mammal,cow in the field
mammal,furry creature
mammal,mammals feed their young with milk
mammal,bear in the forest
mammal,cow in the field
fish,this animal is a halibut in the water
fish,trout is delicious
fish,carp swim out to sea
fish,the salmon swim upstream
bird,this is a duck in the air
bird,chicken is delicious
bird,peacocks are beautiful
bird,we have feathers
bird,emu stampedes are dangerous
mammal,hairy beast
mammal,furry animals feed their young with milk
mammal,bear in the forest
mammal,cow in the field
not_animal,I am a person
not_animal,hello
not_animal,this is a sentence
not_animal,nobody knows
not_animal,rocks are not edible
not_animal,a tree grows in the forest
not_animal,apples and mangoes are delicious
not_animal,mountains are for roaming
not_animal,pittsburgh pennsylvania
not_animal,new delhi is relatively near to the taj mahal
not_animal,backpacks contain many objects
not_animal,horrible terrible robots
not_animal,doors tables and windows
not_animal,laptops and thermonuclear weapons
not_animal,archibald was a vacuum salesman
not_animal,nice to meet you
not_animal,she was fluid in her grace
not_animal,aribtirary words in a sentence
not_animal,politics gender and identity
not_animal,midas had a golden touch
mammal,moose
mammal,furry
mammal,hair
mammal,milk
mammal,bear
mammal,wolf
mammal,mouse
fish,salmon
fish,trout
fish,bass
fish,eel
fish,manta
fish,koi
fish,swordfish
bird,emu
bird,chicken
bird,kite
bird,feather
bird,wing
bird,egg
bird,nest
bird,peacock
not_animal,computer
not_animal,cello